MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM
12-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2,2,1960,372,201,0.879,0.872,0.128
12-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,2,1,1979,216,145,0.942,0.767,0.233
12-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,1977,15295,601,1,1,0
12-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,2,2,1968,225,212,0.998,0.975,0.025
12-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,2,3,1969,270,229,0.864,1,0
12-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,2,3,1970,281.5,232,0.997,1,0
12-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2,2,1971.5,293.5,220,0.942,0.81,0.19
12-74,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,213,2,1,1979,244,149,0.977,0.756,0.244
12-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,2,1,1983,119,201,0.926,0.284,0.716
12-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,2,2,1957,263,229,0.979,0.958,0.042
12-77,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,156,2,1,1956,375,153,0.987,1,0
12-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,1,1,1955,372,111.5,0.969,0.994,0.006
12-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,2,1944,351,182,1,1,0
13-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,1983,578,93,1,1,0
13-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2,1,1993,591,180,0.978,1,0
13-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2,1,1997,574,193,1,1,0
13-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,81,2,1,1980,627,194,0.988,1,0
13-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,2,1,1987,598,199,0.992,1,0
13-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,1,2003,384,153,0.946,1,0
13-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,2,1,2006,557.5,201,0.967,0.478,0.522
13-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,2,1,1981,650,214,0.986,1,0
13-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2,1,1974,724.5,199,1,1,0
13-25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,91,2,1,1975,715,236,0.978,1,0
13-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,1,1973,797,201,0.991,1,0
13-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2,1,1959,790,137,0.991,1,0
13-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1,1,1956,781,113,0.991,1,0
13-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2,1,1962,812,155.5,0.966,1,0
13-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,2,1,1966,445,173,0.974,0.744,0.256
13-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2,1,1967,650,211,0.985,1,0
13-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,1,1982,710,206,0.87,1,0
13-33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,23,1,1,1951,564,201,0.652,0.783,0.217
13-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,1,1,1940,691,123,0.966,1,0
13-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2,1,1951,1072,173,0.979,1,0
13-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2,1,1955,697,157,0.978,1,0
13-37,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,126,2,1,1951,765.5,144.5,0.992,1,0
13-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1963,3039,402,1,1,0
13-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,1989,1655,201,0.857,1,0
13-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1968.5,2293.5,543.5,0.5,1,0
13-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1981,1014,155,1,1,0
13-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,1,1968,1033,201,0.933,1,0
13-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2,1,1980,865,224.5,1,1,0
13-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,2,1,1999,202,188,0.939,0.297,0.703
13-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,2,1,2010,64,201,0.782,0.345,0.655
13-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,1,1953,664.5,151,0.958,1,0
13-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,1,1954.5,562,126.5,0.964,1,0
13-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,2,1,1990,76,201,0.817,0.14,0.86
13-54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,106,2,1,1950,520,148,0.991,1,0
13-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,2,1,1950,465,127,0.995,0.96,0.04
13-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,2,1,1950,491,164,0.936,0.624,0.376
13-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,2,1,1974,176,201,0.808,0.467,0.533
13-58,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,5,0,0.5,0,0,243,2,1,1978,324,201,0.979,0.708,0.292
13-59,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,2,246,2,1,2012,80.5,201,0.939,0.325,0.675
13-60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,2,620,2,1,2012,38,201,0.59,0.195,0.805
13-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,2,1,1949,218,201,0.896,0.664,0.336
13-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,1,2000,79,966,1,0.429,0.571
13-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,2,2,1953,250,190.5,0.782,0.997,0.003
13-64,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,713,2,2,1949,244,200,0.926,0.868,0.132
