MAP_ID,IN_JAN,IN_FEB,IN_MAR,IN_APR,IN_MAY,IN_JUN,IN_JUL,IN_AUG,IN_SEP,IN_OCT,IN_NOV,IN_DEC,DESC_ALERT,DESC_FIRE,DESC_OTHER,DESC_NEW,NB_UNITS,Median_NrIncidentsLastWeek,Median_NrIncidentsLastMonth,Median_NrCrimesLastWeek,Median_NrCrimesLastMonth,Median_NrIncidentsLastWeekPast,Median_NrIncidentsLastMonthPast,Median_NrCrimesLastWeekPast,Median_NrCrimesLastMonthPast,NB_PROPERTIES,FLOORS,HOUSINGS,YEAR_CONSTRUCTION,LAND_AREA,BUILDING_AREA,USAGE_LOGEMENT,CATEGORY_REGULAR,CATEGORY_CONDOMINIUM,NB_INCIDENTS
22-26,0,0,0,0,0.333,0.333,0,0,0,0,0.333,0,0.333,0,0.667,0,1,0,0,0,0,0,0,0,0,70,2,1,1987.5,536,175,0.929,1,0,3
22-27,0,0.375,0.125,0,0.125,0,0,0,0.25,0,0.125,0,0.875,0.125,0,0,2.5,0,0,0,0,0,0,0,0,166,2,1,1982,650,187.5,0.982,1,0,8
22-28,0.143,0.429,0,0,0.143,0,0,0.143,0,0,0,0.143,0.714,0,0.286,0,3,0,0,0,0,0,0,0,0,164,2,1,1976,583,218.5,0.97,1,0,7
22-29,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0.25,1,0,0,0,3,0,0,0,0,0,0,0,0.5,70,2,1,1972,576,167.5,1,1,0,4
22-30,0.2,0.2,0,0,0,0.4,0,0,0,0,0,0.2,0.6,0.2,0.2,0,2,0,0,0,0,0,0,0,0,108,2,1,1967,565.5,164,0.991,1,0,5
22-31,0.2,0.3,0,0.3,0.1,0,0,0,0.1,0,0,0,0.6,0,0.4,0,3.5,0,0,0,0,0,0,0,0,192,2,1,1975,342,144,0.974,1,0,10
22-32,0.154,0.077,0,0.154,0,0.077,0.154,0.077,0.077,0.231,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,265,2,1,2015,73,201,0.649,0.151,0.849,13
22-33,0.176,0.059,0.059,0,0.059,0.059,0,0.176,0.118,0.118,0.059,0.118,0.765,0.059,0.176,0,4,0,0,0,0,0,0,0,1,4,1.5,1,1979.5,10144,490,0,1,0,17
22-34,0.143,0,0.143,0.143,0.143,0,0.143,0,0,0.286,0,0,1,0,0,0,4,0,0,0,3,0,0,0,3,2,1.5,1,1970.5,5740.5,1028.5,0,1,0,7
22-35,0,0.125,0.125,0,0,0.125,0.125,0.25,0.125,0,0,0.125,0.875,0,0.125,0,4,0,0,0,0,0,0,0,0,1,1,1,1987,7562,1588,0,1,0,8
22-36,0.1,0.1,0.1,0,0,0.1,0.1,0.3,0.1,0.1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,45,2,1,2011,79,201,0.711,0.156,0.844,10
